SE Palmeiras SP | SC Corinthians SP

Universidad de Chile | San Antonio Unido

South Bend Lions | Midwest United FC

Londrina EC PR | Tombense FC MG

Nautico PE | AD Confianca SE

Mixto MT | Brasiliense FC DF

CR Brasil AL | Brusque FC SC

Birmingham Legion FC 2 | Tennessee SC

Bolivia | Panama

USA | Uruguay

Salt City SC | New Mexico United U23

CF Tigres UANL | CF Monterrey

National Bank of Egypt SC | Smouha SC

Romania | Netherlands

Enppi Club | Al Mokawloon Al Arab

Pyramids FC | Zed FC

KA Akureyri | Valur Reykjavik

Austria | Turkey

Goias EC GO | America FC MG
